Wikipedia data,,,MAG,,,,Status,,Note
pageid,name,born (year),author_id,author_name,pub count,citation count,MAG id,different name,
22794175,Ivan Sviták,1925,2330249088,Ivan Sviták,0,0,,,Ivan Sviták
2016158,Gabrielle Suchon,1632,1627884688,Gabrielle deVeber,280,22504,,,
1058313,Francisco Suárez,1547,2144345457,Francisco Suárez,88,2177,,,
499297,Carl Stumpf,1848,2895974904,Carl Stumpf,23,252,,,
14188542,Barry Stroud,1935,2159727643,Barry Stroud,105,950,,,
243451,Sir Peter Frederick Strawson,1919,1971985099,Peter F. Strawson,0,0,,diff,Peter F. Strawson
593294,Galen Strawson,1951,1983350692,Galen Strawson,93,1405,,,
210244,Leo Strauss,1899,2421485072,Leo Strauss,182,3705,,,
604033,Strato of Lampsacus,-336,2595753901,Gabriele Of,21,128,,,
1217818,David Stove,1927,no info,no info,0,0,no,diff,
5034109,George Stout,1859,2486199198,G. F. Stout,0,0,,diff,https://academic.microsoft.com/author/2486199198/publication/search?q=G.%20F.%20Stout&qe=Composite(AA.AuId%253D2486199198)&f=&orderBy=0&paperId=1504516130
112282,Max Stirner,1806,2251484578,Max Stirner,26,180,,,
1219317,Stilpo of Megara,-361,2104509212,Of Ajayi,20,372,,,
3041110,Stephen Stich,1942,1808281534,Stephen P. Stich,218,8339,,diff,Stephen Stich
174717,Dugald Stewart,1753,2121366797,Dugald Stewart,80,672,,,
637469,Charles Leslie Stevenson,1908,2638710179,Charles Leslie Stevenson,0,0,,,https://academic.microsoft.com/author/2638710179/publication/search?q=Charles%20Leslie%20Stevenson&qe=Composite(AA.AuId%253D2638710179)&f=&orderBy=0
197346,Sir Leslie Stephen,1832,no info,no info,0,0,no,diff,
26104,Rudolf Steiner,1861,2139795781,Rudolf Steiner,1028,1426,,,
43501,Edith Stein,1891,2172111071,Edith Stein,65,645,,,
3783415,L. Susan Stebbing,1885,500746437,L. Susan Stebbing,18,0,,,
1041538,Stanisław Staszic,1755,no info,no info,0,0,no,diff,
1587630,Henry Brewster Stanton,1805,no info,no info,0,0,no,diff,
4050095,Robert Stalnaker,1940,2083069655,Robert Stalnaker,85,4461,,,
210684,Germaine de Staël,1766,no info,no info,0,0,no,diff,
570684,Timothy Sprigge,1932,2809777270,Timothy L. S. Sprigge,11,89,,diff,https://academic.microsoft.com/author/2809777270/publication/search?q=Timothy%20L.%20S.%20Sprigge&qe=Composite(AA.AuId%253D2809777270)&f=&orderBy=0&paperId=2040388744
310126,Gayatri Chakravorty Spivak,1942,2202815967,Gayatri Chakravorty Spivak,113,12470,,,
3061089,Afrikan Spir,1837,2119284507,African Spir,0,0,,diff,African Spir
3408,Baruch de Spinoza,1632,no info,no info,0,0,,,
9525687,Herbert Spiegelberg,1904,2130672997,Herbert Spiegelberg,69,218,,,
612408,Speusippus,-409,no info,no info,0,0,,,
22588,Oswald Spengler,1880,2062943980,Oswald Spengler,50,1200,,,
