Wikipedia data,,,MAG,,,,Status,,Note
pageid,name,born (year),author_id,author_name,pub count,citation count,MAG id,different name,
425339,William Inge,1860,1077152438,Inge Huybrechts,429,14371,,diff,
1936136,Roman Ingarden,1893,946384160,Roman Ingarden,153,1238,,,
541339,Evald Vasilievich Ilyenkov,1924,no info,no info,0,0,no,diff,
1104592,Ibn Tufail,1104,1995617974,Adnan Tufail,228,3120,,,
2042394,Ibn Miskawayh,931,no info,no info,0,0,,,
199169,Ibn Khaldun,1331,no info,no info,0,0,,,
13617676,Ibn Kammuna,1214,2598541296,Ibn Sīnā,72,262,,,
1467830,Ibn Hazm al-Andalusi,994,no info,no info,0,0,,,
938607,Solomon ben Yehuda ibn Gabirol,1020,no info,no info,0,0,,,
1648378,Rabbi Moses ben Jacob ibn Ezra,1054,1999439232,Menachem Ben-Ezra,151,1085,,,
143794,Abraham ibn Ezra,1088,no info,no info,0,0,,,
536739,Avempace,1084,no info,no info,0,0,,,
2364264,Ibn Al-Rawandi,826,no info,no info,0,0,,,
200354,Ibn ʿArabi,1165,2598541296,Ibn Sīnā,72,262,,,
732860,Iamblichus,243,no info,no info,0,0,,,
38375,Hypatia,368,2164448215,Hypatia Rojas,27,380,,,
42127,Christiaan Huygens,1629,no info,no info,0,0,,,
30038,Thomas Henry Huxley,1825,2006373055,Thomas Henry Huxley,276,3027,,,
188405,Francis Hutcheson,1694,2798695607,Francis Hutcheson,13,21,,,
9518,Edmund Husserl,1859,1474294082,Edmund Husserl,520,17523,,,
16028,Jan Hus,1371,2505535880,Jan Hus,34,9,,,
7925,David Hume,1710,2172110579,David A. Hume,681,41683,,,
33110,Wilhelm von Humboldt,1767,2412389984,Alexander von Humboldt,359,1968,,diff,
2853176,Friedrich von Hügel,1852,no info,no info,0,0,no,diff,
1833394,Huang Zongxi,1610,2131647297,Zongxi Han,79,1284,,,
28114934,Xu Fuguan (Hsu Fu-kuan),1904,2153502219,Hsu-Chiang Kuan,102,3662,,diff,
54237274,Xiong Shili,1884,no info,no info,0,0,no,diff,
22105307,George Holmes Howison,1834,2009411764,Sam Howison,172,4329,,diff,
1241991,Paul Horwich,1946,2169380988,Alan Horwich,299,18430,,diff,
2015642,Jennifer Hornsby,1950,2149666055,Jennifer Hornsby,115,984,,,
19456,Max Horkheimer,1895,1976581674,Max Horkheimer,106,8645,,,
23399049,Richard Hooker,1553,2136028443,Richard H. Hooker,16,191,,,
1409290,Sidney Hook,1902,1928055775,Sidney Hook,76,768,,,
6601547,Edwin Holt,1873,2104017647,Edwin B. Holt,31,347,,diff,
195759,"Paul-Henri Thiry, Baron d'Holbach",1723,1971261427,Paul A. Thiry,232,3386,,,
174667,Harald Høffding,1843,no info,no info,0,0,no,diff,
1094327,William Ernest Hocking,1873,1928161268,William Ernest Hocking,49,191,,,
29823,Thomas Hobbes,1588,2489108634,Thomas Hobbes,122,2642,,,
13486,Hippocrates of Kos,-461,1817958446,Hippocrates Moschouris,44,292,,,
1710903,Jaakko Hintikka,1929,1987215117,Jaakko Hintikka,445,9878,,,
13684,Hildegard of Bingen,1097,2144366524,Edouard Bingen,527,13632,,,
8302,David Hilbert,1861,2145983701,David Hilbert,220,19819,,,
1457023,John Hick,1922,2312956882,John Hick,259,2169,,,
2851,Abraham Joshua Heschel,1906,58039078,Abraham Joshua Heschel,33,581,,,
480014,Alexander Herzen,1812,219361927,Julia Herzen,184,1776,,diff,
13445,Heinrich Hertz,1857,2024838643,Heinrich Hertz,27,3779,,,
43592,Sir John Herschel,1792,288001769,Herschel Rabitz,1107,26164,,diff,
294037,Johann Gottfried Herder,1744,2152274299,Johann Gottfried Herder,203,1099,,,
191397,Johann Friedrich Herbart,1776,2072579658,Johann Friedrich Herbart,65,343,,,
13792,Heraclitus,-536,2629788258,Heraclitus,13,273,,,
7652068,Henry Harclay,1269,1877918121,Henry Krum,917,36966,,,
834596,Henry of Ghent,1216,2176726551,Cameron N. Ghent,75,3768,,,
1380238,Carl Gustav Hempel,1904,2123083284,Carl Gustav Jung,420,14141,,diff,
196196,Claude Adrien Helvétius,1714,no info,no info,0,0,,,
13705654,Franciscus Mercurius van Helmont,1614,no info,no info,0,0,,,
53311,Hermann von Helmholtz,1821,2435301099,Hermann von Helmholtz,70,4698,,,
2173176,Ágnes Heller,1929,no info,no info,0,0,no,diff,
39776845,Virginia Held,1929,2165507455,Virginia Held,87,2058,,,
33130,Werner Heisenberg,1901,2158816254,Werner Heisenberg,151,8996,,,
37304,Martin Heidegger,1889,2057369234,Constantin Heidegger,656,10736,,diff,
12598,Georg Wilhelm Friedrich Hegel,1770,2301981031,Georg Wilhelm Friedrich Hegel,612,13626,,,
11646,Friedrich Hayek,1899,2070295757,Friedrich A. von Hayek,208,20192,,diff,
50203,William Harvey,1577,2124637663,Neil William Harvey,86,1756,,,
588100,Charles Hartshorne,1897,2168635837,Charles Hartshorne,262,4366,,,
504020,Nicolai Hartmann,1881,2660773895,Nicolai F. Hartmann,53,635,,diff,
602663,Eduard von Hartmann,1842,2344296733,Eduard von Hartmann,60,119,,,
173966,David Hartley,1705,2800299670,David Ernest Hartley,69,4096,,,
312906,H. L. A. Hart,1907,2471693670,H. L. A. Hart,76,7422,,,
242178,Adolf von Harnack,1850,751923369,Adolf von Harnack,18,362,,,
1674106,Gilbert Harman,1938,2135388923,Gilbert Harman,201,5507,,,
243824,Richard Mervyn Hare,1919,2531356354,Daryl Hare,1473,19124,,diff,
558945,Michael Hardt,1959,2028010112,Michael Hardt,81,3587,,,
1496291,Sandra G. Harding,1935,2136139090,Sandra Harding,101,9623,,diff,
1404026,Norwood Russell Hanson,1924,2705071413,Norwood Russell Hanson,11,103,,,
2350935,Robert Alastair Hannay,1932,1980112995,Alastair Hannay,89,5,,diff,
729989,Sir Stuart Newton Hampshire,1914,2122808202,Stuart Hampshire,238,3602,,diff,
206346,"Sir William Hamilton, Bt",1788,2537148476,William Hamilton,320,55025,,diff,
243114,Johann Georg Hamann,1730,2085260092,Johann Georg Hamann,25,28,,,
342561,Judah Halevi,1074,2079942169,Judah Folkman,518,124375,,,
9668,Ernst Haeckel,1834,no info,no info,0,0,no,diff,
322956,Ian Hacking,1936,277187828,Ian Hacking,210,13850,,,
16288,Jürgen Habermas,1929,2038147313,Jürgen Habermas,524,74588,,,
321979,Susan Haack,1944,2128384848,Susan Haack,183,2266,,,
602598,Edmund Gurney,1847,1975357444,Edmund Gurney,31,85,,,
13623554,Che Guevara,1928,no info,no info,0,0,no,diff,
1459586,Guan Zhong,-721,2130224228,Zhong Zhen Guan,89,874,,,
5563510,Adolf Grünbaum,1923,2159464955,Adolf Grünbaum,169,3140,,,
66612,Hugo Grotius,1583,2479931955,Hugo Grotius,41,863,,,
24599111,James Griffin,1933,2156801683,James D. Griffin,544,46579,,diff,
335570,Herbert Paul Grice,1913,no info,no info,0,0,no,diff,
2601179,Gregory of Rimini,1299,2034917437,F.G. Rimini,280,2471,,,
13172,Gregory the Theologian,327,713965019,Van Luu-The,279,12596,,,
211627,T. H. Green,1836,2739696239,David T. Green,216,24048,,diff,
61742412,Hilary Greaves,1978,1633918851,Colin Greaves,321,5709,,diff,
1053576,John Gray,1948,2145238006,John C. Gray,299,10274,,diff,
443026,Asa Gray,1810,2319519141,Asa Gray,152,984,,,
56244,Antonio Gramsci,1891,2372596896,Antonio Gramsci,88,11622,,,
1632292,Baltasar Gracián,1600,no info,no info,0,0,,,
204047,Johann Christoph Gottsched,1699,254760364,Johann Christoph Gottsched,26,16,,,
2755188,André Gorz,1923,2656774005,André Gorz,35,1537,,,
98394,Gorgias,-484,2685294936,N. Gorgias,13,108,,,
1179596,Nelson Goodman,1906,2109253240,Nelson Goodman,159,9243,,,
1884200,Lucien Goldmann,1913,2575179727,Lucien Goldmann,37,211,,,
2079505,Alvin Goldman,1937,2161653542,Alvin I. Goldman,163,11389,,diff,
25442734,Friedrich Gogarten,1886,no info,no info,0,0,no,diff,
142615,William Godwin,1756,2108600897,William Godwin,253,924,,,
16736,Kurt Gödel,1906,720800907,Kurt Gödel,29,5273,,,
141013,Arthur de Gobineau,1816,2312304536,"Gobineau, Arthur, comte de",26,93,,diff,
1082423,Étienne Gilson,1884,2713554134,Étienne Gilson,144,1670,,,
299138,Egidio,1242,2186908015,Egidio D'Angelo,273,6047,,,
37332,Josiah Willard Gibbs,1839,no info,no info,0,0,no,diff,
4465051,Allan Gibbard,1941,2184766542,Allan Gibbard,92,5933,,,
146607,Al-Ghazālī,1057,no info,no info,0,0,,,
210105,Edmund Gettier,1927,no info,no info,0,0,no,diff,
61626,Gersonides,1287,no info,no info,0,0,,,
23838961,Jean Charlier de Gerson,1363,2461289075,Jean-Christophe Charlier,260,13776,,,
46027,Gerhard Gentzen,1909,91232535,Gerhard Gentzen,15,4289,,,
302884,Peter Geach,1916,2317668676,Jim Geach,67,1133,,diff,
162329,John Gay,1685,2315595813,Miguel A. González-Gay,661,20706,,,
48050,David Gauthier,1932,2583899009,David Gauthier,48,2135,,,
3395,Gautama Buddha,-481,2322372337,Buddha Basnyat,298,4765,,,
8296748,Marcel Gauchet,1945,2476974559,Marcel Gauchet,110,1031,,,
197030,Pierre Gassendi,1591,no info,no info,0,0,,,
12563872,Christian Garve,1741,229426673,Christian Garve,16,45,,,
7123730,Réginald Garrigou-Lagrange,1877,1981058660,Chantal Garrigou-Lagrange,40,303,,diff,
19379,Gandhi,1869,2118775599,Poshak Gandhi,360,6056,,diff,
33798857,Rafael Gambra Ciudad,1920,no info,no info,0,0,no,diff,
29688374,Galileo Galilei,1563,740148036,Galileo Galilei,93,2100,,,
12326,Galen,127,174441951,Galen D. Stucky,980,77477,,,
13988,Hans-Georg Gadamer,1900,1084069346,Hans Georg Gadamer,247,13179,,diff,
2068592,Nikolai Fyodorov,1829,2006607396,Nikolai Krasnikov,2150,46407,,diff,
369507,Lon L. Fuller,1902,2671221711,Lon L. Fuller,41,2182,,,
3860328,Marilyn Frye,1940,no info,no info,0,0,no,diff,
45343,Erich Fromm,1900,2251508476,Erich Fromm,262,9802,,,
728927,Friedrich Fröbel,1782,1259832260,Friedrich Fröbel,22,392,,,
179150,Jakob Friedrich Fries,1773,2436079743,Jakob Friedrich Fries,20,96,,,
26743,Sigmund Freud,1856,968460832,Sigmund Freud,687,70552,,,
618870,Paulo Freire,1921,2787125474,Paulo T. C. Freire,253,2038,,diff,
4877498,Hans Frei,1922,2813648225,Frei Hans,17,27,,diff,
48416,Gottlob Frege,1848,1937954579,Gottlob Frege,75,6558,,,
12932084,Michael Frede,1940,327080418,Frede Blaabjerg,1950,64750,,diff,
1311139,Harry Frankfurt,1929,2502815094,Harry G. Frankfurt,32,4732,,diff,
8667351,William Frankena,1908,2141813508,Klaas Frankena,150,2818,,diff,
8685272,Semyon Ludvigovich Frank,1877,265544447,Semyon Tsynkov,113,1783,,diff,
237186,Charles Fourier,1772,1717797021,Charles Fourier,22,12,,,
47643,Michel Foucault,1926,2344910454,Michel Foucault,543,126992,,,
1385364,Philippa Foot,1920,2116476107,Philippa Foot,30,1941,,,
5853244,Dagfinn Føllesdal,1932,58778879,Dagfinn Føllesdal,64,501,,,
427994,Jerry Fodor,1935,2180580011,Jerry A. Fodor,192,32616,,diff,
152476,Robert Fludd,1573,no info,no info,0,0,,,
195994,John Fiske,1842,2892808201,John Fiske,65,155,,,
140824,Ronald Fisher,1890,2131748246,Ronald P. Fisher,106,5267,,diff,
191415,Kuno Fischer,1824,2111602707,Kuno Fischer,26,64,,,
2007218,John Finnis,1940,2241052909,John Finnis,222,2622,,,
12886765,Eugen Fink,1905,1918883106,Eugen Fink,92,716,,,
706877,Robert Filmer,1587,2097927811,Deon Filmer,99,9556,,,
1535742,Hartry Field,1946,2126043386,Hartry Field,60,2618,,,
12007,Johann Gottlieb Fichte,1762,1961546495,Johann Gottlieb Fichte,295,1284,,,
59658,Paul Feyerabend,1924,661262430,Paul K. Feyerabend,159,5282,,diff,
39658852,Ludwig Feuerbach,1804,1415189844,Ludwig Feuerbach,65,627,,,
38861203,Ann Ferguson,1938,no info,no info,0,0,no,diff,
175401,Adam Ferguson,1723,2129754152,Adam R. Ferguson,135,3007,,,
684707,Feng Youlan,1895,2149560444,Youlan Zou,22,597,,diff,
34125215,José Pablo Feinmann,1943,2077135284,C Feinmann,45,749,,diff,
584553,Joel Feinberg,1926,2599463086,Joel Feinberg,36,1615,,,
8084790,Andrew Feenberg,1942,2250991748,Andrew Feenberg,161,3457,,,
203499,Gustav Fechner,1801,1345404747,Gustav Theodor Fechner,14,1990,,diff,
3512705,Austin Farrer,1904,2618444095,Austin Farrer,23,3,,,
19727,Michael Faraday,1791,2099210253,Michael Faraday,117,2724,,,
175040,Abu Nasr Al-Farabi,871,no info,no info,0,0,,,
95185,Frantz Fanon,1925,2414819873,Frantz Fanon,32,13760,,,
22034302,Thomé H. Fang,1899,2162543725,Lionel Thomé,270,3500,,diff,
1369237,Emil Ludwig Fackenheim,1916,no info,no info,0,0,no,diff,
761542,Gareth Evans,1946,2108026611,D. Gareth Evans,455,23212,,diff,
48388,Eudoxus of Cnidus,-391,2595753901,Gabriele Of,21,128,,,
228637,Rudolf Christoph Eucken,1845,no info,no info,0,0,no,diff,
1082384,John Scotus Eriugena,814,no info,no info,0,0,,,
10152,Erasmus,1466,2617913437,Desiderius Erasmus,170,754,,,
10073,Epicurus,-342,2482634189,Epicurus,13,81,,,
10407,Epictetus,48,2798281302,Epictetus,51,119,,,
47096,Friedrich Engels,1820,2048738716,Friedrich Engels,703,13425,,,
9553,Empedocles,-495,1128446015,Stephen Empedocles,43,3734,,,
26202,Ralph Waldo Emerson,1803,2117874267,Ralph Waldo Emerson,237,2016,,,
736,Albert Einstein,1879,1782324548,Albert Einstein,536,46125,,,
875526,Christian von Ehrenfels,1859,no info,no info,0,0,no,diff,
2159372,Paul Edwards,1923,2142697151,Paul R. Edwards,189,2432,,diff,
52057,Jonathan Edwards,1703,2143211051,Jonathan R. Edwards,136,20625,,,
2274,Sir Arthur Eddington,1882,2142173351,Arthur Eddington,112,5199,,diff,
32003,Umberto Eco,1931,2289503391,Umberto Eco,390,12458,,,
20595185,Eckhart von Hochheim,1259,366922366,Ea Eckhart,533,2745,,,
1245202,John Earman,1941,1260078007,John Earman,164,5759,,,
296728,Ronald Dworkin,1931,2608993936,Ronald Dworkin,255,11957,,,
11847004,Enrique Dussel,1934,1495507275,Enrique Dussel,127,1914,,,
38218,Émile Durkheim,1858,no info,no info,0,0,no,diff,
34293405,John Duns Scotus,1265,no info,no info,0,0,,,
955000,Raya Dunayevskaya,1910,no info,no info,0,0,no,diff,
302888,Michael Dummett,1925,2112162129,Michael Dummett,106,6143,,,
424304,Pierre Duhem,1861,2057281243,Pierre Maurice Marie Duhem,66,2067,,diff,
3279285,Curt John Ducasse,1881,2013743603,Stéphane Ducasse,449,9173,,diff,
306059,Guillaume du Vair,1555,2306123842,Claudio Vair,37,454,,,
1002045,Émilie du Châtelet,1706,2497941818,Eric Armynot du Châtelet,27,363,,,
250754,Emil du Bois-Reymond,1818,1140180071,Manuela du Bois-Reymond,62,790,,diff,
744559,Hans Adolf Eduard Driesch,1867,103818574,Hans Driesch,58,791,,diff,
2847218,Fred Irwin Dretske,1932,2044651552,Fred Dretske,77,5961,,diff,
75340,Dōgen,1199,no info,no info,0,0,,,
234264,Diogenes,-413,2948996895,Diogenes Domenicis Gimenez,124,1781,,,
222779,Diogenes of Apollonia,-501,2111379761,Apollonia Tullo,49,973,,,
80047,Diogenes Laërtius,298,2948996895,Diogenes Domenicis Gimenez,124,1781,,,
611323,Wilhelm Dilthey,1833,2298149383,Wilhelm Dilthey,421,2038,,,
1024472,Joseph Dietzgen,1828,no info,no info,0,0,no,diff,
8199,Denis Diderot,1713,2081212309,Denis Diderot,341,1313,,,
499053,A. V. Dicey,1835,2736337674,Albert Venn Dicey,60,922,,diff,
16187,John Dewey,1859,2007061579,John Dewey,793,85295,,,
1053532,Paul Deussen,1844,74604451,Oliver Deussen,253,5617,,diff,
196809,Antoine Destutt de Tracy,1754,2170564320,Destutt de Tracy,16,37,,diff,
861060,Vincent Descombes,1942,1173563488,Vincent Descombes,44,488,,,
25525,René Descartes,1595,56324612,René Descartes,404,8304,,,
53255,Jacques Derrida,1930,2114857138,Jacques Derrida,550,27330,,,
8756,Daniel Dennett,1942,2102769145,Daniel C. Dennett,322,19390,,diff,
8211,Democritus,-461,no info,no info,0,0,,,
11947057,Giorgio Del Vecchio,1878,2116158632,Domitilla Del Vecchio,188,3097,,diff,
9935670,Bernard Delfgaauw,1912,no info,no info,0,0,no,diff,
12557,Gilles Deleuze,1925,2361602699,Gilles Deleuze,271,28135,,,
1739991,Joseph Déjacque,1821,2077580974,Joseph Biederman,1019,92414,,diff,
23475106,Richard Dedekind,1831,1970619913,Richard Dedekind,81,1221,,,
157393,Guy Debord,1931,611838118,Guy Debord,39,3454,,,
18949289,Augustus De Morgan,1806,2300497806,Augustus De Morgan,36,318,,,
310123,Paul de Man,1919,2155303363,H. De Man,246,4991,,diff,
213143,Joseph de Maistre,1753,332313899,Emmanuel de Maistre,55,935,,diff,
180825,Bruno De Finetti,1906,157913951,Bruno de Finetti,44,3808,,,
62034,Simone de Beauvoir,1907,75165650,Simone de Beauvoir,141,6217,,,
48522,Angela Davis,1944,2425490892,Angela Davis,99,2954,,,
295750,Donald Davidson,1917,2314801451,Donald Davidson,155,15018,,,
9299,Erasmus Robert Darwin,1731,2011918361,Erasmus Darwin,30,533,,,
8145410,Charles Darwin,1809,2347001418,Charles Darwin,658,48780,,,
1053706,Arthur Coleman Danto,1923,2149263838,Arthur C. Danto,132,2595,,diff,
51182,Jean le Rond d'Alembert,1717,2608134508,Jean Le Rond d' Alembert,89,788,,,
26185,Ralph Cudworth,1616,no info,no info,0,0,,,
1086599,Louis Couturat,1867,no info,no info,0,0,no,diff,
174664,Victor Cousin,1792,2655253294,Victor Cousin,24,51,,,
1079244,Antoine Augustin Cournot,1801,no info,no info,0,0,no,diff,
1537143,Newton Carneiro Affonso da Costa,1929,no info,no info,0,0,no,diff,
2611765,Henry Corbin,1903,2114013452,Henry Corbin,103,584,,,
323592,Nicolaus Copernicus,1472,1767199927,Nicolaus Copernicus,41,310,,,
1415261,Anne Conway,1631,1980803724,Anne Conway,23,1035,,,
5823,Confucius,-552,229074125,Confucius,17,117,,,
174004,Etienne Bonnot de Condillac,1714,1551633135,Étienne Bonnot de Condillac,54,422,,,
188875,Anthony Collins,1676,2191580156,Anthony Collins,36,282,,,
472146,R. G. Collingwood,1889,1485381305,R. G. Collingwood,42,3241,,,
163670,John Colet,1466,1257188410,Pere Colet,230,4365,,,
729686,Morris Raphael Cohen,1880,2116506110,Morris Cohen,165,7891,,diff,
535669,Hermann Cohen,1842,2123476367,Hermann Cohen,27,378,,,
40980045,G. A. Cohen,1941,2303650304,Leonardo G. Cohen,449,47701,,diff,
250820,William Clifford,1845,2312503872,William Kingdon Clifford,46,535,,diff,
7342,Clement of Alexandria,148,2165343665,Alexandria Meyer,40,782,,,
171297,Cleanthes,-331,2464897598,Cleanthes A. Nicolaides,344,3303,,,
1280889,Johannes Clauberg,1621,1997317254,Rolf Clauberg,90,1090,,,
168445,Hélène Cixous,1937,2195713836,Hélène Cixous,143,3847,,,
251240,Emil Cioran,1911,no info,no info,0,0,no,diff,
1019340,August Cieszkowski,1814,no info,no info,0,0,no,diff,
6046,Marcus Tullius Cicero,-107,447365182,Marcus Tullius Cicero,841,1793,,,
5341017,Paul Churchland,1942,1884830185,Paul M. Churchland,99,5852,,diff,
425385,Patricia Churchland,1943,2068978918,Patricia Smith Churchland,101,5921,,diff,
49731,Alonzo Church,1903,2166365297,Alonzo Church,944,7076,,,
37143,Chrysippus of Soli,-280,2548729756,Sigfrid D. Soli,129,3716,,,
7628,Christine de Pizan,1364,2903459082,Christine de Pizan,27,0,,,
2159251,Zhou Dunyi,1016,2127857198,Dunyi Liu,207,15808,,,
21566,Noam Chomsky,1928,2049461923,Noam Chomsky,628,81595,,,
408329,Roderick Chisholm,1916,2033839124,Roderick M. Chisholm,199,3518,,diff,
15639037,Ch'ien Mu,1895,2124750105,Mu Mu,133,2521,,diff,
38707829,Nikolay Chernyshevsky,1828,no info,no info,0,0,no,diff,
8738289,Cheng Yi,1032,2139328109,Yi-Bing Cheng,556,17378,,,
306075,Pierre Charron,1540,2161485286,Dominique Charron,569,14756,,,
168700,William Ellery Channing,1780,2430566708,William Ellery Channing,19,41,,,
481604,Chanakya,-376,2127742191,Chanakya Misra,37,327,,,
598325,Houston Stewart Chamberlain,1855,no info,no info,0,0,no,diff,
829939,Michel de Certeau,1925,72471923,Michel de Certeau,62,11626,,,
685947,Stanley Cavell,1926,733931247,Stanley Cavell,104,3936,,,
5753816,Jean Cavaillès,1903,275491729,Vincent Cavaillès,131,4493,,diff,
40300362,Cornelius Castoriadis,1922,41589254,Cornelius Castoriadis,93,2461,,,
7720444,Hector-Neri Castañeda,1924,2106298186,Hector-Neri Castañeda,120,1788,,,
556846,Ernst Alfred Cassirer,1874,1234409970,Ernst Cassirer,180,5164,,diff,
1677762,Nancy Cartwright,1944,2013523273,Nancy Cartwright,231,7244,,,
397597,Edward Carpenter,1844,2140353000,Edward J. Carpenter,188,9364,,diff,
1079171,Carneades,-214,no info,no info,0,0,,,
57987,Rudolf Carnap,1891,1994766680,Rudolf Carnap,169,11550,,,
128422,Thomas Carlyle,1795,2438476567,Thomas Carlyle,427,1322,,,
13145,Gerolamo Cardano,1501,1579257263,Gerolamo Xiccato,122,1820,,,
43649030,Claudia Card,1940,2033292892,Claudia Card,85,991,,,
12216,Georg Cantor,1845,2163143211,Georg Cantor,31,1417,,,
764313,Georges Canguilhem,1904,39544509,Georges Canguilhem,50,2644,,,
983,Albert Camus,1913,2149512994,Albert Camus,165,1975,,,
163720,Tommaso Campanella,1568,1369017321,Tommaso Campanella,67,106,,,
15930,John Calvin,1509,2125145052,John Calvin Coffey,163,2571,,,
1338245,Thomas Cajetan,1468,2159303973,Cajetan Pinto,35,86,,,
937527,Edward Caird,1835,2092823008,Sally Caird,57,864,,diff,
174292,Pierre Jean Georges Cabanis,1757,2470965796,Cabanis Ea,126,2922,,diff,
148809,Judith Butler,1956,2088596896,Judith Butler,222,42975,,,
163552,Joseph Butler,1692,2838284701,Joseph S. Butler,132,905,,,
9653188,Myles Burnyeat,1938,2704769563,Myles Burnyeat,32,805,,,
172466,Jean Buridan,1300,35621752,Jean Buridan,37,192,,,
3977384,Tyler Burge,1945,2057547094,Tyler Burge,84,7351,,,
312772,Jacob Burckhardt,1818,1968740560,Jacob Burckhardt,107,950,,,
201112,Mario Bunge,1919,2209330182,Mario Bunge,405,9485,,,
526931,Rudolf Bultmann,1884,2042846854,Rudolf Karl Bultmann,87,1411,,diff,
2848821,Sergei Bulgakov,1871,no info,no info,0,0,no,diff,
360039,Buffon,1707,2113498658,Andréia Buffon,81,526,,,
306083,Henry Thomas Buckle,1821,no info,no info,0,0,no,diff,
1354854,Ludwig Büchner,1824,1505519028,Ludwig Büchner,24,5,,,
36381933,Justus Buchler,1914,2175187333,Tomas Buchler,159,759,,diff,
1131214,Léon Brunschvicg,1869,1859568191,Léon Brunschvicg,37,150,,,
12963,Giordano Bruno,1547,2136985647,Giordano Bruno,90,193,,,
2266055,Emil Brunner,1889,1969388937,Emil Brunner,24,347,,,
228579,Thomas Brown,1777,2112586147,Thomas D. Brown,238,6858,,diff,
172896,L. E. J. Brouwer,1881,2167155610,Andries E. Brouwer,268,8424,,diff,
49395474,Thom Brooks,1973,2084629850,Thom Brooks,147,324,,,
833962,C. D. Broad,1887,389494915,C. D. Broad,31,1232,,,
1586250,Edgar S. Brightman,1884,2617956022,Edgar Sheffield Brightman,36,116,,diff,
396507,Percy Williams Bridgman,1882,2098678781,Percy Williams Bridgman,95,7151,,,
81974,Franz Brentano,1837,2004540382,Franz Clemens Brentano,87,2515,,diff,
7414016,Richard B. Brandt,1910,2159150418,Richard B. Brandt,42,1561,,,
3072250,R. B. Braithwaite,1899,2124753362,R. Scott Braithwaite,125,4594,,diff,
153676,Thomas Bradwardine,1299,2165749697,Thomas Thomas,20,927,,,
473835,F. H. Bradley,1845,1820408482,Bradley F. Boeve,846,53226,,diff,
50237,Robert Boyle,1626,2155450366,Robert J. Boyle,182,5024,,,
1079121,Borden Parker Bowne,1846,no info,no info,0,0,no,diff,
463542,Émile Boutroux,1845,1964981536,Émile Boutroux,21,65,,,
109275,Pierre Bourdieu,1930,205961243,Pierre Bourdieu,738,133016,,,
23747676,"Roger Joseph Boscovich, ",1711,2300141950,Joseph Roger,104,1830,,,
473457,Bernard Bosanquet,1848,699486954,Bernard Bosanquet,113,580,,,
38298,George Boole,1815,2261240689,George Boole,32,2181,,,
204127,Charles Bonnet,1720,2147539826,Charles Bonnet,26,15,,,
84199,Dietrich Bonhoeffer,1906,2122600178,Dietrich Bonhoeffer,88,512,,,
629224,Louis de Bonald,1754,99017749,Thomas Bonald,169,3919,,diff,
302185,Bernard Bolzano,1781,311143461,Bernard Bolzano,91,373,,,
544255,Ludwig Boltzmann,1844,1825599707,Ludwig Boltzmann,205,2982,,,
21210,Niels Bohr,1885,2066570792,Niels Bohr,147,9306,,,
186234,David Bohm,1917,2268680487,C. Bohm,1146,20768,,diff,
458312,Jakob Böhme,1575,no info,no info,0,0,,,
1810987,Leonardo Boff,1938,475887828,Leonardo Boff,25,164,,,
195684,Anicius Manlius Severinus Boëthius,476,no info,no info,0,0,,,
272095,Jean Bodin,1529,2045129610,David Bodin,479,21402,,,
1406651,Norberto Bobbio,1909,2346294444,Norberto Bobbio,104,2038,,,
3446104,Maurice Blondel,1861,2105960903,Maurice Blondel,63,49,,,
1134592,Ned Block,1941,2172368290,Ned Block,97,6782,,,
571418,Ernst Bloch,1885,2000104237,Ernst Bloch,59,1958,,,
568258,Brand Blanshard,1892,198941238,Brand Blanshard,50,379,,,
257193,Maurice Blanchot,1907,2206734917,Maurice Blanchot,80,2375,,,
225945,Hugh Blair,1718,2110598738,Hugh T. Blair,285,2313,,,
441332,Simon Blackburn,1944,2113372304,Simon R. Blackburn,137,1279,,diff,
302879,Max Black,1909,2788164183,Max Black,198,7232,,,
8485775,Ludwig Binswanger,1881,1982597661,Ludwig Binswanger,33,483,,,
70655,Alfred Binet,1857,2104561793,Alfred Binet,620,2486,,,
64597,Ludwig von Bertalanffy,1901,2313581831,Ludwig von Bertalanffy,51,7253,,,
376949,Claude Bernard,1813,2317233143,Claude Bernard,494,8091,,,
157279,Sir Isaiah Berlin,1909,2598248967,Isaiah Berlin,86,3123,,diff,
11958,George Berkeley,1685,2074052045,George Berkeley,92,1755,,,
13531,Henri Bergson,1859,1990293601,Henri Bergson,119,5104,,,
3205590,Gustav Bergmann,1906,2723030506,Gustav Bergmann,93,858,,,
313348,Nikolai Berdyaev,1874,2006607396,Nikolai Krasnikov,2150,46407,,diff,
188937,Richard Bentley,1661,2600247141,Richard Bentley,26,1686,,,
46038,Jeremy Bentham,1747,2138689770,Jeremy Bentham,1257,6269,,,
68228,Gottfried Benn,1886,2120650347,Gottfried Benn,39,54,,,
227111,Walter Benjamin,1892,2101942338,Walter Benjamin,180,12669,,,
179141,Friedrich Eduard Beneke,1798,no info,no info,0,0,no,diff,
41780272,Aaron Ben-Ze'ev,1949,1994701963,Avri Ben-Ze'ev,152,14164,,diff,
2313972,Jakob Sigismund Beck,1761,2128274294,Anne Sigismund Huff,93,6251,,diff,
196198,"Cesare, Marquis Beccaria",1738,2072537947,Cesare Beccaria,61,537,,,
263544,James Beattie,1735,2159490581,James K. Beattie,177,3237,,,
308126,Pierre Bayle,1647,2149972064,Pierre Bayle,32,311,,,
